order_id,customer_id,product,city,amount,quantity,order_date
65,289,Headset,Bandung,1519.94,2,2026-06-25
66,650,Keyboard,Makassar,835.09,1,2026-01-24
67,650,Monitor,Surabaya,2176.35,3,2026-02-03
68,653,Keyboard,Bandung,1163.6,5,2026-06-30
69,438,Headset,Jakarta,490.19,2,2026-05-20
70,37,Keyboard,Makassar,918.28,4,2026-02-02
71,43,Keyboard,Surabaya,1368.68,1,2026-04-02
72,216,Webcam,Bandung,933.55,3,2026-05-24
73,906,Monitor,Makassar,4997.91,2,2026-02-11
74,1000,Mouse,Medan,109.91,3,2026-04-16
75,822,Webcam,Bandung,613.44,1,2026-04-08
76,894,Laptop,Medan,10669.2,4,2026-03-31
77,313,Mouse,Bandung,109.47,2,2026-04-13
78,337,Keyboard,Jakarta,1456.96,3,2026-03-31
79,657,Headset,Medan,1455.18,5,2026-03-26
80,962,Laptop,Jakarta,18524.46,3,2026-02-15
81,595,Keyboard,Jakarta,340.92,4,2026-03-30
82,747,Keyboard,Medan,988.07,5,2026-01-30
83,395,Headset,Bandung,733.03,4,2026-01-01
84,533,Headset,Bandung,919.18,1,2026-06-20
85,943,Keyboard,Makassar,608.09,1,2026-03-18
86,520,Keyboard,Medan,624.04,3,2026-05-22
87,131,Mouse,Medan,365.97,4,2026-06-23
88,767,Mouse,Makassar,327.64,4,2026-05-21
89,854,Laptop,Surabaya,11442.96,4,2026-05-29
90,622,Webcam,Surabaya,771.99,4,2026-06-22
91,219,Headset,Medan,1649.35,2,2026-06-18
92,87,Keyboard,Makassar,1063.01,5,2026-03-27
93,96,Mouse,Surabaya,189.86,2,2026-02-07
94,26,Laptop,Bandung,19807.23,5,2026-01-19
95,467,Monitor,Makassar,2777.74,4,2026-05-07
96,410,Mouse,Bandung,362.42,1,2026-01-28
97,798,Monitor,Bandung,2703.55,5,2026-04-29
98,52,Headset,Bandung,1859.7,1,2026-04-27
99,137,Monitor,Makassar,5951.57,5,2026-03-23
100,973,Monitor,Makassar,5260.03,5,2026-04-20
101,851,Headset,Medan,1825.25,4,2026-04-26
102,266,Mouse,Surabaya,406.33,5,2026-05-05
103,642,Mouse,Surabaya,275.95,3,2026-03-02
104,279,Keyboard,Surabaya,1360.93,1,2026-02-05
105,155,Mouse,Medan,377.58,2,2026-01-17
106,425,Monitor,Surabaya,4170.44,4,2026-01-16
107,212,Monitor,Medan,5619.35,5,2026-06-28
108,21,Headset,Medan,1110.87,3,2026-03-18
109,772,Monitor,Medan,4152.88,5,2026-06-04
110,920,Mouse,Medan,187.77,4,2026-05-05
111,30,Monitor,Surabaya,4675.49,4,2026-02-12
112,861,Monitor,Bandung,5922.89,5,2026-01-07
113,929,Monitor,Makassar,4257.57,1,2026-01-22
114,659,Monitor,Bandung,5467.41,2,2026-01-13
115,267,Monitor,Surabaya,2846.64,3,2026-03-28
116,780,Monitor,Surabaya,5008.04,4,2026-03-06
117,855,Laptop,Medan,8232.6,5,2026-01-14
118,975,Keyboard,Bandung,1045.19,1,2026-01-08
119,973,Mouse,Bandung,435.69,5,2026-02-09
120,245,Mouse,Medan,367.78,5,2026-02-25
121,477,Webcam,Surabaya,1013.52,2,2026-06-05
122,622,Webcam,Jakarta,1022.23,2,2026-03-21
123,111,Headset,Jakarta,1879.11,5,2026-06-23
124,930,Monitor,Medan,5765.88,2,2026-01-20
125,607,Webcam,Bandung,481.52,3,2026-06-25
126,615,Laptop,Makassar,17391.62,3,2026-05-17
127,439,Webcam,Surabaya,455.17,3,2026-01-04
128,870,Monitor,Medan,2422.16,3,2026-06-12
129,913,Monitor,Bandung,3741.95,5,2026-06-16
130,277,Headset,Makassar,1616.89,4,2026-04-22
131,846,Webcam,Makassar,614.72,2,2026-01-23
132,286,Monitor,Bandung,5001.91,5,2026-06-06
133,685,Monitor,Surabaya,2114.8,3,2026-02-16
134,500,Mouse,Surabaya,419.13,3,2026-03-13
135,902,Headset,Surabaya,1244.84,5,2026-02-18
136,88,Mouse,Medan,295.43,2,2026-06-26
137,488,Webcam,Medan,758.54,1,2026-01-24
138,302,Mouse,Medan,376.71,3,2026-06-19
139,596,Keyboard,Medan,919.51,3,2026-04-19
140,764,Headset,Surabaya,898.08,4,2026-03-11
141,314,Keyboard,Bandung,356.85,2,2026-03-22
142,123,Webcam,Makassar,1160.7,2,2026-02-19
143,222,Webcam,Medan,621.2,5,2026-05-15
144,612,Keyboard,Jakarta,1282.42,3,2026-02-28
145,370,Mouse,Surabaya,105.66,5,2026-02-02
146,281,Laptop,Jakarta,14640.31,2,2026-06-13
147,890,Monitor,Jakarta,5490.88,5,2026-03-14
148,481,Monitor,Medan,3362.82,1,2026-03-06
149,964,Monitor,Jakarta,5288.46,4,2026-05-06
150,76,Headset,Jakarta,557.94,5,2026-03-19
151,88,Mouse,Jakarta,323.23,4,2026-06-05
152,611,Headset,Bandung,1618.68,4,2026-04-26
153,931,Monitor,Surabaya,5440.67,4,2026-03-20
154,583,Headset,Jakarta,1336.37,1,2026-02-23
155,641,Mouse,Surabaya,364.17,2,2026-03-03
156,178,Headset,Jakarta,566.11,4,2026-04-26
157,706,Headset,Medan,795.14,2,2026-03-15
158,724,Keyboard,Medan,292.53,2,2026-03-09
159,807,Webcam,Makassar,928.95,2,2026-04-19
160,118,Headset,Bandung,1400.98,3,2026-02-06
161,74,Laptop,Bandung,17511.54,5,2026-05-26
162,944,Keyboard,Medan,361.66,3,2026-06-29
163,413,Keyboard,Makassar,901.98,4,2026-01-21
164,613,Laptop,Medan,16814.41,5,2026-03-06
165,27,Laptop,Bandung,19542.93,5,2026-05-31
166,974,Laptop,Surabaya,14914.96,2,2026-05-01
167,532,Webcam,Medan,1132.86,2,2026-05-30
168,447,Webcam,Medan,1175.24,4,2026-03-31
169,419,Keyboard,Surabaya,1071.17,2,2026-03-26
170,422,Webcam,Medan,630.57,4,2026-05-21
171,38,Monitor,Jakarta,3258.07,3,2026-01-30
172,994,Monitor,Makassar,5299.71,1,2026-06-18
173,891,Headset,Medan,1002.52,2,2026-05-13
174,371,Headset,Medan,1363.19,1,2026-02-22
175,274,Headset,Bandung,1877.04,4,2026-06-28
176,497,Laptop,Jakarta,19677.76,5,2026-03-03
177,727,Mouse,Surabaya,320.34,5,2026-04-15
178,96,Mouse,Jakarta,284.58,1,2026-06-15
179,853,Mouse,Medan,473.06,3,2026-05-11
180,723,Keyboard,Medan,1285.14,4,2026-03-04
181,468,Headset,Bandung,952.1,5,2026-05-11
182,765,Mouse,Jakarta,210.5,4,2026-03-29
183,957,Headset,Surabaya,1694.93,3,2026-03-18
184,858,Headset,Makassar,1998.13,4,2026-02-08
185,458,Headset,Medan,886.71,5,2026-05-20
186,387,Monitor,Surabaya,5478.41,2,2026-05-27
187,393,Mouse,Medan,117.46,4,2026-06-30
188,936,Monitor,Medan,5953.66,2,2026-05-07
189,988,Laptop,Bandung,14027.49,5,2026-03-26
190,891,Laptop,Medan,9196.54,4,2026-01-04
191,740,Mouse,Medan,448.37,2,2026-01-20
192,481,Keyboard,Surabaya,1010.24,4,2026-06-16
193,83,Keyboard,Makassar,694.01,3,2026-06-10
194,736,Monitor,Makassar,2143.6,1,2026-03-02
195,647,Webcam,Surabaya,1197.94,1,2026-04-22
196,101,Webcam,Jakarta,754.94,3,2026-01-08
197,48,Keyboard,Jakarta,581.38,3,2026-04-21
198,150,Mouse,Makassar,264.82,2,2026-02-13
199,180,Laptop,Makassar,18450.08,5,2026-06-24
200,247,Monitor,Makassar,2572.47,4,2026-06-13
201,261,Monitor,Surabaya,4667.36,4,2026-03-15
202,694,Headset,Bandung,425.57,3,2026-05-31
203,307,Webcam,Medan,952.25,4,2026-03-19
204,204,Monitor,Medan,2426.61,4,2026-05-27
205,368,Headset,Surabaya,1987.58,3,2026-01-06
206,850,Webcam,Medan,619.58,5,2026-06-25
207,797,Webcam,Jakarta,1128.49,4,2026-03-15
208,795,Mouse,Makassar,420.77,2,2026-06-12
209,195,Headset,Surabaya,1452.2,2,2026-06-10
210,100,Webcam,Jakarta,647.15,4,2026-01-09
211,594,Keyboard,Bandung,317.17,3,2026-03-25
212,766,Monitor,Bandung,2803.18,5,2026-04-04
213,544,Headset,Surabaya,1711.8,3,2026-05-04
214,991,Keyboard,Surabaya,1245.5,4,2026-01-20
215,145,Mouse,Medan,486.91,5,2026-04-04
216,93,Monitor,Jakarta,3057.83,1,2026-04-27
217,378,Webcam,Surabaya,867.65,3,2026-01-28
218,692,Mouse,Medan,110.01,5,2026-03-25
219,938,Headset,Bandung,1401.01,4,2026-06-29
220,310,Webcam,Medan,493.34,1,2026-01-10
221,312,Monitor,Jakarta,2388.77,5,2026-02-04
222,398,Monitor,Surabaya,4681.94,5,2026-04-18
223,602,Webcam,Bandung,1108.33,1,2026-05-06
224,631,Monitor,Surabaya,2130.87,3,2026-02-25
225,455,Monitor,Bandung,5421.8,1,2026-06-25
226,377,Headset,Surabaya,402.94,3,2026-02-18
227,992,Laptop,Medan,9100.08,2,2026-06-14
228,655,Headset,Jakarta,385.98,3,2026-03-04
229,129,Headset,Bandung,416.64,5,2026-02-23
230,601,Mouse,Bandung,231.42,2,2026-06-02
231,3,Keyboard,Bandung,1483.79,5,2026-03-06
232,818,Mouse,Jakarta,364.42,1,2026-02-03
233,16,Keyboard,Bandung,965.51,1,2026-02-14
234,272,Laptop,Bandung,16900.62,5,2026-01-30
235,764,Laptop,Medan,13379.3,3,2026-05-12
236,608,Laptop,Medan,14046.06,5,2026-01-12
237,745,Webcam,Makassar,641.3,1,2026-01-16
238,491,Monitor,Medan,4744.39,4,2026-04-24
239,76,Laptop,Surabaya,15299.57,1,2026-02-02
240,282,Headset,Makassar,1232.21,3,2026-04-08
241,612,Headset,Surabaya,1071.32,5,2026-04-21
242,102,Webcam,Jakarta,1082.23,5,2026-02-25
243,441,Monitor,Bandung,3655.25,4,2026-04-13
244,426,Webcam,Jakarta,650.04,3,2026-06-20
245,262,Keyboard,Bandung,1092.87,4,2026-01-18
246,94,Laptop,Jakarta,13182.52,3,2026-02-03
247,570,Laptop,Makassar,19479.5,5,2026-03-26
248,687,Laptop,Medan,12243.18,4,2026-01-14
249,992,Keyboard,Makassar,606.18,1,2026-05-28
250,520,Mouse,Bandung,362.69,2,2026-01-28
251,359,Headset,Surabaya,495.31,3,2026-05-27
252,232,Monitor,Makassar,5898.19,5,2026-06-07
253,692,Webcam,Makassar,421.0,3,2026-01-08
254,185,Keyboard,Surabaya,1398.0,3,2026-01-02
255,186,Mouse,Makassar,362.94,1,2026-02-06
256,759,Webcam,Jakarta,473.41,5,2026-02-25
257,386,Monitor,Medan,3363.58,3,2026-03-21
258,739,Keyboard,Makassar,975.09,1,2026-02-09
259,162,Headset,Jakarta,1445.75,3,2026-04-24
260,678,Monitor,Medan,4428.3,4,2026-03-11
261,221,Headset,Jakarta,886.79,1,2026-03-14
262,695,Webcam,Makassar,789.31,3,2026-01-12
263,226,Monitor,Makassar,2219.13,2,2026-03-19
264,969,Mouse,Bandung,405.66,3,2026-03-25
265,123,Laptop,Medan,16964.17,2,2026-02-03
266,390,Headset,Bandung,1150.45,3,2026-01-19
267,407,Webcam,Jakarta,748.98,4,2026-01-20
268,883,Keyboard,Makassar,758.07,4,2026-06-13
269,428,Keyboard,Jakarta,726.54,3,2026-02-13
270,821,Headset,Medan,1714.44,3,2026-01-23
271,448,Laptop,Bandung,13228.12,4,2026-05-15
272,81,Monitor,Surabaya,4983.22,2,2026-03-27
273,798,Mouse,Jakarta,304.19,1,2026-05-16
274,523,Mouse,Surabaya,240.44,2,2026-03-02
275,106,Mouse,Surabaya,178.91,5,2026-02-09
276,779,Webcam,Jakarta,541.72,4,2026-04-29
277,773,Headset,Makassar,1063.14,5,2026-06-14
278,651,Headset,Surabaya,1769.22,3,2026-02-08
279,451,Laptop,Medan,13306.5,3,2026-03-12
280,606,Laptop,Surabaya,14088.04,3,2026-04-29
281,463,Laptop,Jakarta,12424.85,3,2026-01-20
282,661,Laptop,Makassar,15128.96,4,2026-04-29
283,595,Headset,Jakarta,1064.55,5,2026-06-16
284,193,Keyboard,Makassar,818.32,2,2026-01-16
285,462,Laptop,Surabaya,19788.63,1,2026-05-10
286,662,Mouse,Jakarta,199.1,4,2026-04-23
287,537,Headset,Makassar,569.87,3,2026-03-14
288,397,Monitor,Surabaya,4715.59,1,2026-06-11
289,663,Keyboard,Jakarta,628.6,5,2026-06-23
290,396,Keyboard,Surabaya,1140.85,5,2026-02-08
291,342,Laptop,Makassar,15963.35,3,2026-03-21
292,991,Webcam,Medan,503.16,1,2026-03-21
293,573,Monitor,Surabaya,5252.74,5,2026-01-24
294,662,Webcam,Medan,806.79,1,2026-04-03
295,317,Mouse,Bandung,236.69,4,2026-02-19
296,232,Mouse,Bandung,130.87,1,2026-05-10
297,790,Headset,Makassar,364.17,3,2026-06-08
298,135,Headset,Medan,562.23,2,2026-06-27
299,790,Headset,Bandung,1526.01,1,2026-04-16
300,374,Webcam,Bandung,1175.67,5,2026-03-14
301,771,Webcam,Medan,587.2,2,2026-03-21
302,989,Monitor,Bandung,3471.36,5,2026-04-23
303,473,Keyboard,Medan,853.78,4,2026-02-11
304,837,Mouse,Makassar,155.36,3,2026-01-14
305,657,Monitor,Surabaya,4218.16,1,2026-05-13
306,872,Laptop,Surabaya,9006.5,2,2026-03-11
307,461,Headset,Bandung,1712.78,1,2026-02-26
308,837,Monitor,Surabaya,5721.89,4,2026-01-14
309,406,Headset,Surabaya,700.82,1,2026-04-06
310,230,Laptop,Surabaya,19169.91,3,2026-02-07
311,141,Laptop,Surabaya,19008.75,4,2026-06-28
312,852,Mouse,Medan,279.44,1,2026-01-21
313,20,Keyboard,Bandung,1285.45,5,2026-06-05
314,541,Monitor,Jakarta,5104.69,2,2026-03-19
315,125,Laptop,Bandung,13037.91,5,2026-04-28
316,65,Laptop,Medan,15160.87,1,2026-06-11
317,528,Headset,Bandung,1521.53,3,2026-04-20
318,2,Headset,Surabaya,708.96,4,2026-02-17
319,681,Webcam,Jakarta,818.79,3,2026-01-18
320,977,Headset,Makassar,1162.46,5,2026-05-22
321,21,Monitor,Medan,2174.14,4,2026-04-06
322,260,Webcam,Jakarta,685.68,1,2026-03-30
323,247,Webcam,Jakarta,1017.2,3,2026-02-04
324,46,Keyboard,Makassar,640.11,2,2026-06-25
325,476,Webcam,Medan,905.39,2,2026-01-17
326,734,Monitor,Jakarta,3173.77,1,2026-02-21
327,908,Laptop,Surabaya,19200.45,5,2026-04-12
328,835,Headset,Medan,730.63,2,2026-03-15
329,366,Laptop,Surabaya,11278.6,3,2026-04-22
330,911,Monitor,Medan,5578.55,4,2026-03-28
331,998,Mouse,Medan,376.83,3,2026-05-13
332,274,Laptop,Medan,8947.12,5,2026-02-16
333,559,Keyboard,Surabaya,333.38,3,2026-06-19
334,303,Keyboard,Medan,983.41,4,2026-02-12
335,707,Monitor,Surabaya,3788.52,3,2026-06-07
336,446,Keyboard,Jakarta,297.55,4,2026-04-04
337,526,Webcam,Bandung,1162.23,2,2026-06-05
338,695,Monitor,Jakarta,2504.92,2,2026-06-15
339,376,Keyboard,Medan,1434.31,1,2026-06-04
340,158,Webcam,Medan,1159.06,3,2026-04-24
341,782,Laptop,Makassar,9652.34,3,2026-04-12
342,322,Webcam,Surabaya,599.69,1,2026-01-07
343,754,Mouse,Medan,307.1,5,2026-01-31
344,269,Keyboard,Medan,478.94,5,2026-03-15
345,711,Monitor,Bandung,2490.55,1,2026-04-26
346,177,Webcam,Medan,1197.81,3,2026-06-20
347,356,Webcam,Jakarta,840.0,3,2026-03-18
348,872,Mouse,Bandung,417.48,5,2026-02-27
349,125,Mouse,Bandung,194.69,4,2026-01-07
350,370,Headset,Makassar,927.15,5,2026-02-03
351,627,Laptop,Jakarta,11711.49,4,2026-05-15
352,421,Monitor,Makassar,2295.0,3,2026-06-14
353,76,Monitor,Medan,4720.44,3,2026-02-02
354,900,Headset,Makassar,609.34,2,2026-04-21
355,515,Laptop,Jakarta,14217.23,3,2026-02-12
356,166,Keyboard,Bandung,649.83,5,2026-03-14
357,867,Laptop,Surabaya,10355.62,5,2026-03-12
358,129,Webcam,Surabaya,891.54,1,2026-05-09
359,657,Mouse,Makassar,476.64,2,2026-02-13
360,675,Headset,Makassar,873.95,5,2026-01-11
361,846,Laptop,Jakarta,8545.54,5,2026-03-09
362,667,Mouse,Makassar,266.63,1,2026-05-08
363,911,Webcam,Makassar,631.74,3,2026-05-04
364,251,Webcam,Medan,637.95,1,2026-06-26
365,62,Mouse,Medan,266.25,4,2026-02-22
366,349,Headset,Bandung,831.39,3,2026-03-30
367,999,Monitor,Bandung,5042.66,5,2026-05-24
368,109,Keyboard,Bandung,806.41,3,2026-04-26
369,254,Mouse,Jakarta,120.24,4,2026-06-07
370,429,Mouse,Bandung,425.39,5,2026-03-22
371,195,Mouse,Medan,498.39,4,2026-05-08
372,901,Keyboard,Medan,230.13,4,2026-05-10
373,469,Mouse,Bandung,333.34,1,2026-01-13
374,289,Monitor,Makassar,5529.36,4,2026-03-15
375,550,Laptop,Jakarta,13171.13,3,2026-04-04
376,783,Monitor,Surabaya,2180.97,1,2026-05-26
377,576,Mouse,Surabaya,321.29,1,2026-04-09
378,517,Monitor,Makassar,3118.88,5,2026-06-24
379,626,Laptop,Bandung,19700.99,4,2026-04-06
380,814,Keyboard,Makassar,1420.63,2,2026-02-20
381,617,Headset,Medan,1150.13,1,2026-01-10
382,141,Webcam,Surabaya,1043.17,5,2026-04-27
383,153,Headset,Makassar,537.63,5,2026-03-23
384,167,Monitor,Makassar,4957.28,3,2026-06-01
385,345,Headset,Makassar,1204.98,5,2026-03-18
386,487,Laptop,Surabaya,11974.88,1,2026-04-17
387,598,Keyboard,Jakarta,975.98,3,2026-06-17
388,802,Headset,Makassar,686.82,1,2026-05-30
389,492,Mouse,Makassar,351.61,5,2026-04-08
390,152,Webcam,Bandung,425.26,1,2026-02-18
391,20,Monitor,Surabaya,3675.12,4,2026-06-26
392,209,Monitor,Makassar,5099.89,4,2026-01-16
393,723,Mouse,Makassar,182.94,3,2026-06-19
394,490,Headset,Medan,833.38,2,2026-04-28
395,935,Headset,Surabaya,1228.66,3,2026-06-06
396,496,Mouse,Bandung,211.6,3,2026-02-27
397,965,Keyboard,Surabaya,1116.37,4,2026-03-23
398,492,Keyboard,Makassar,1413.81,3,2026-03-15
399,125,Headset,Makassar,945.48,4,2026-03-30
400,978,Mouse,Surabaya,116.83,1,2026-03-30
401,947,Monitor,Surabaya,4989.35,2,2026-02-21
402,848,Headset,Surabaya,1886.14,3,2026-02-05
403,112,Headset,Makassar,706.78,1,2026-06-21
404,927,Headset,Bandung,1384.51,1,2026-01-26
405,424,Keyboard,Medan,330.71,2,2026-01-02
406,988,Headset,Bandung,991.74,4,2026-05-03
407,667,Mouse,Surabaya,228.47,1,2026-01-23
408,668,Headset,Bandung,1209.76,1,2026-02-14
409,428,Mouse,Jakarta,498.87,4,2026-05-07
410,191,Webcam,Surabaya,1101.39,1,2026-03-18
411,582,Headset,Jakarta,1878.37,3,2026-03-14
412,466,Webcam,Makassar,819.45,2,2026-05-10
413,480,Keyboard,Bandung,1251.46,3,2026-02-11
414,749,Monitor,Surabaya,4874.39,1,2026-03-28
415,810,Keyboard,Makassar,1076.72,2,2026-02-14
416,626,Webcam,Medan,1061.59,5,2026-03-25
417,89,Monitor,Jakarta,2739.12,2,2026-05-03
418,332,Mouse,Jakarta,204.31,2,2026-04-25
419,772,Keyboard,Surabaya,592.53,5,2026-01-03
420,268,Webcam,Surabaya,954.21,1,2026-06-20
421,122,Monitor,Surabaya,2638.87,5,2026-06-30
422,789,Keyboard,Jakarta,1030.32,3,2026-04-05
423,630,Mouse,Bandung,482.94,4,2026-02-09
424,466,Webcam,Makassar,698.9,5,2026-05-01
425,776,Headset,Bandung,1595.16,5,2026-01-21
426,539,Monitor,Makassar,4815.06,1,2026-05-25
427,115,Laptop,Makassar,18834.66,2,2026-05-27
428,550,Mouse,Bandung,231.25,5,2026-04-24
429,120,Webcam,Bandung,973.53,4,2026-01-24
430,921,Headset,Medan,1674.78,4,2026-02-03
431,526,Monitor,Medan,4255.64,5,2026-04-29
432,689,Keyboard,Jakarta,714.73,1,2026-02-25
433,593,Laptop,Jakarta,13084.37,1,2026-05-19
434,62,Laptop,Medan,8380.82,4,2026-02-16
435,788,Mouse,Medan,249.78,4,2026-04-25
436,891,Monitor,Medan,2321.0,5,2026-02-04
437,670,Keyboard,Jakarta,432.02,5,2026-04-11
438,542,Mouse,Bandung,433.93,1,2026-03-18
439,475,Webcam,Makassar,739.3,4,2026-02-28
440,254,Monitor,Surabaya,2620.49,2,2026-01-29
441,33,Webcam,Medan,891.94,1,2026-03-03
442,212,Laptop,Jakarta,15127.33,4,2026-06-03
443,689,Webcam,Jakarta,595.79,1,2026-04-13
444,450,Mouse,Makassar,186.91,1,2026-02-05
445,516,Keyboard,Bandung,1260.52,5,2026-03-23
446,592,Headset,Surabaya,702.74,2,2026-06-19
447,534,Mouse,Medan,220.2,1,2026-05-23
448,972,Headset,Bandung,1364.19,4,2026-05-23
449,508,Laptop,Surabaya,19299.04,4,2026-05-15
450,327,Webcam,Medan,726.61,3,2026-04-07
451,189,Headset,Medan,709.65,2,2026-03-18
452,879,Webcam,Bandung,1044.62,1,2026-05-24
453,423,Monitor,Makassar,4119.97,4,2026-03-04
454,262,Mouse,Surabaya,358.68,4,2026-04-05
455,95,Headset,Bandung,387.61,4,2026-06-22
456,620,Headset,Jakarta,1785.15,2,2026-05-31
457,742,Webcam,Makassar,573.61,2,2026-03-27
458,311,Laptop,Bandung,19245.92,1,2026-05-03
459,937,Mouse,Makassar,381.51,4,2026-03-03
460,566,Keyboard,Surabaya,694.86,5,2026-06-16
461,368,Keyboard,Surabaya,667.54,4,2026-04-30
462,101,Webcam,Medan,1009.3,3,2026-02-22
463,380,Keyboard,Medan,259.43,2,2026-02-07
464,17,Keyboard,Makassar,1415.19,5,2026-04-17
465,303,Mouse,Bandung,231.95,4,2026-05-26
466,854,Mouse,Medan,320.26,3,2026-03-07
467,782,Monitor,Medan,3843.32,3,2026-02-13
468,144,Webcam,Makassar,790.65,5,2026-06-14
469,981,Laptop,Makassar,8405.89,1,2026-06-21
470,50,Laptop,Medan,9649.9,2,2026-01-18
471,725,Mouse,Jakarta,187.49,4,2026-04-06
472,62,Headset,Makassar,1851.68,4,2026-01-05
473,7,Headset,Makassar,999.28,1,2026-05-16
474,740,Keyboard,Makassar,1470.72,1,2026-05-09
475,833,Webcam,Medan,1044.93,2,2026-01-28
476,941,Laptop,Makassar,9786.77,2,2026-06-08
477,540,Keyboard,Surabaya,547.52,4,2026-01-21
478,383,Monitor,Medan,4260.01,2,2026-03-18
479,701,Laptop,Jakarta,9122.01,4,2026-04-07
480,566,Monitor,Jakarta,4546.99,2,2026-01-22
481,512,Monitor,Surabaya,4263.43,1,2026-05-16
482,942,Laptop,Bandung,10537.0,5,2026-05-02
483,278,Laptop,Jakarta,16213.14,3,2026-05-20
484,578,Webcam,Jakarta,543.48,3,2026-01-05
485,985,Mouse,Makassar,157.68,4,2026-01-20
486,307,Mouse,Makassar,196.19,4,2026-06-23
487,919,Headset,Surabaya,952.54,2,2026-06-26
488,742,Laptop,Makassar,16945.48,3,2026-01-14
489,101,Monitor,Bandung,5354.7,3,2026-06-04
490,788,Headset,Makassar,974.4,3,2026-01-08
491,650,Keyboard,Medan,837.78,3,2026-05-22
492,964,Monitor,Medan,2742.95,5,2026-06-19
493,390,Laptop,Makassar,11544.55,2,2026-01-19
494,85,Keyboard,Bandung,694.0,2,2026-04-10
495,325,Keyboard,Jakarta,318.98,3,2026-04-24
496,369,Keyboard,Jakarta,372.26,2,2026-04-21
497,460,Headset,Makassar,1171.15,1,2026-01-07
498,92,Keyboard,Makassar,320.98,5,2026-03-25
499,885,Monitor,Jakarta,3167.39,4,2026-01-22
500,743,Headset,Bandung,1272.33,2,2026-06-25
501,390,Mouse,Bandung,207.57,3,2026-05-07
502,150,Laptop,Bandung,13216.12,4,2026-03-18
503,496,Laptop,Surabaya,11020.4,2,2026-06-10
504,508,Headset,Makassar,632.43,1,2026-02-04
